Metric,1,2,3,4,5,6,8,10
Inserted_Keys,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Skipped_Duplicates,1.7,1.7,1.5,1.3,1.4,1.6,1.3,1.6
Nodes_Saved,206.7,149.4,127.9,108.4,90.1,85.6,75.1,66.4
Nodes_Loaded,288.5,203.5,158.7,136.7,120.9,114.9,100.7,90.6
Nodes_Cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pages_Saved,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Pages_Loaded,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Pages_Cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metadata_Loaded,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Metadata_Saved,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
